adopt-imaging-parallel;adopt-imaging-single;adopt-pure;amazoncorretto-imaging-parallel;amazoncorretto-imaging-single;amazoncorretto-pure;graaljdk-imaging-parallel;graaljdk-imaging-single;graaljdk-pure;openjdk-imaging-parallel;openjdk-imaging-single;openjdk-opencv;openjdk-openimaj;openjdk-pure;zulu-imaging-parallel;zulu-imaging-single;zulu-pure;python-pure-simple;python-with-itertools;python-pure-simple-with-numba;python-pure-simple-with-numba-parallel;python-itertools-with-numba;python-with-numpy;python-with-numpy-with-numba;python-with-numpy-with-numba-parallel;python-with-numpy-and-scipy;python-with-opencv
116;266;237;103;258;235;105;226;166;111;265;0.392;30;236;136;277;249;14570;13146;236;199;3337;8613;83;3.34;34;4.59
113;267;236;115;261;237;104;228;178;126;266;0.3786;30;236;124;275;248;14480;13145;238;110;3353;8619;83;3.33;34;4.55
141;265;234;116;263;235;103;226;164;124;265;0.3904;30;235;136;276;250;14527;13147;238;97;3355;8557;83;91.23;34;4.74
131;267;234;116;260;232;107;226;166;112;266;0.3868;31;235;121;306;247;14510;13145;238;198;3360;8563;83;4.10;34;4.70
126;266;236;103;258;233;113;226;163;127;266;0.3868;30;236;121;282;247;14467;13167;237;103;3359;8573;83;4.10;34;4.68
128;265;235;115;262;242;114;226;163;127;266;0.3932;30;235;135;278;246;14423;13154;238;197;3378;8591;83;91.39;34;4.60
142;265;235;116;258;234;113;227;163;111;267;0.3803;34;235;122;278;247;14439;13178;238;198;3369;8599;83;3.90;34;4.68
112;266;251;102;263;233;114;226;162;126;269;0.3935;30;236;137;279;248;14464;13203;238;199;3357;8652;83;3.90;34;4.63
128;267;239;104;259;231;115;226;162;127;266;0.3812;30;238;135;277;248;14470;13167;237;104;3349;8604;83;91.40;33;4.62
114;268;238;115;258;233;114;227;164;113;265;0.3951;30;236;123;278;248;14512;13132;237;198;3354;8594;83;4.08;34;4.63
128;266;237;102;259;233;114;227;163;127;267;0.3805;31;235;134;277;248;14473;13138;237;196;3356;8612;83;4.07;34;4.61
120;269;236;101;259;233;114;225;165;125;267;0.4162;30;235;135;280;252;14468;13150;238;199;3363;8591;83;4.07;34;4.65
133;267;237;116;260;232;103;225;162;127;266;0.3802;31;237;135;277;252;14414;13135;238;100;3365;8568;83;91.27;34;4.56
134;266;236;102;258;233;103;226;163;112;267;0.3942;35;238;135;277;246;14361;13170;238;109;3353;8564;83;4.09;34;4.71
134;267;236;102;258;232;114;226;163;126;268;0.3804;30;235;135;277;247;14348;13135;238;199;3350;8559;83;4.08;34;4.57
